n,a_cos,b_sin,rel_to_n1
1,-0.03381971439850323,-0.05247484295328535,0.9999999999999999
2,0.02177913007635533,-0.04484602642161191,0.7985830462958025
3,0.03323983487022025,-0.0006010363431002094,0.5325290974307031
4,0.004740354782961692,0.01737129768557609,0.2884310902826787
5,-0.0107912755528743,-1.400238096849513e-005,0.1728568712269003
6,0.001956428174790698,-0.01129898596786196,0.1836824299849951
7,0.01101880082165034,-2.175199462109005e-005,0.1765016131032107
8,0.001067046470087449,0.008339392806587777,0.1346710496398076
9,-0.006575262087537444,-3.787795541658367e-005,0.1053255593656031
10,0.0006881403990678455,-0.006696847235051294,0.1078362258863299
11,0.006616454865662273,-2.77950224898733e-005,0.1059845807802219
12,0.0004777091984136822,0.005511380535919929,0.08861335940947365
13,-0.004696890674742555,-2.154773446354809e-005,0.075236489216673
14,0.0003507719600356598,-0.004752675014336629,0.07633632591137718
15,0.004717722888192164,-1.46349979077255e-005,0.07556975550058929
