x_mm,y_mm,Bx_T,By_T,Bmag_T,dBy_over_By0,dB_mag_over_B0
0,12.5,1.409068035771813e-006,-0.6230166863197487,0.6230166863213421,0,0
0.1891125,12.5,1.512511381111831e-006,-0.6230167114532699,0.6230167114551058,4.034165002053669e-008,4.034203948677373e-008
0.378225,12.5,1.615954726451849e-006,-0.6230167365867915,0.6230167365888871,8.06833009292518e-008,8.068410695116768e-008
0.5673375000000001,12.5,1.719398071791867e-006,-0.623016761720313,0.6230167617226856,1.210249513938777e-007,1.210262021711372e-007
0.75645,12.5,1.822841417131884e-006,-0.6230167868538343,0.623016786856501,1.613666018585036e-007,1.613683244805486e-007
0.9455625,12.5,1.926284762471905e-006,-0.623016811987356,0.623016811990334,2.017082529892633e-007,2.017104752116694e-007
1.134675,12.5,2.029728107811921e-006,-0.6230168371208772,0.6230168371241835,2.420499030098e-007,2.420526523660982e-007
1.3237875,12.5,2.13317145315194e-006,-0.6230168622543989,0.6230168622580509,2.823915539185151e-007,2.82394858164281e-007
1.5129,12.5,2.236614798491959e-006,-0.6230168873879205,0.6230168873919352,3.227332048272302e-007,3.227370910519056e-007
1.7020125,12.5,2.340058143831977e-006,-0.6230169125214419,0.6230169125258366,3.630748550698115e-007,3.630793514730613e-007
1.891125,12.5,2.443501489171996e-006,-0.6230169376549635,0.6230169376597552,4.034165059785266e-007,4.034216396497925e-007
2.0802375,12.5,2.546944834512013e-006,-0.6230169627884847,0.6230169627936908,4.437581562211079e-007,4.437639549159655e-007
2.26935,12.5,2.650388179852033e-006,-0.6230169879220064,0.6230169879276439,4.84099807129823e-007,4.841062983818034e-007
2.4584625,12.5,2.753831525192052e-006,-0.6230170130555279,0.6230170130616142,5.244414578164935e-007,5.244486691591277e-007
2.647575,12.5,2.857274870532068e-006,-0.6230170381890494,0.6230170381956014,5.64783108503164e-007,5.64791067469983e-007
2.8366875,12.5,2.960718215872087e-006,-0.6230170633225709,0.6230170633296059,6.051247589677899e-007,6.051334933143693e-007
3.0258,12.5,3.064161561212106e-006,-0.6230170884560924,0.6230170884636276,6.454664096544604e-007,6.454759466922866e-007
3.2149125,12.5,3.167604906552125e-006,-0.6230171135896139,0.6230171135976663,6.85808060341131e-007,6.858184276037349e-007
3.404025,12.5,3.271048251892141e-006,-0.6230171387231351,0.6230171387317222,7.261497105837122e-007,7.261609358266696e-007
3.5931375,12.5,3.421983859378499e-006,-0.6230171816775653,0.6230171816869631,7.95095584704697e-007,7.951081115731284e-007
3.78225,12.5,3.72907893495193e-006,-0.6230172832289821,0.6230172832401424,9.580950983689718e-007,9.5811045408567e-007
3.9713625,12.5,4.036174010525363e-006,-0.6230173847803989,0.6230173847934729,1.121094612033247e-006,1.121113039292965e-006
4.160475,12.5,4.343269086098797e-006,-0.623017486331816,0.6230174863469552,1.284094125919566e-006,1.284115868305236e-006
4.349587499999999,12.5,4.650364161672228e-006,-0.6230175878832329,0.6230175879005887,1.447093639805885e-006,1.447118939790215e-006
4.5387,12.5,4.957459237245661e-006,-0.6230176894346496,0.6230176894543733,1.610093153026071e-006,1.610122253969948e-006
4.7278125,12.5,5.264554312819092e-006,-0.6230177909860665,0.6230177910083095,1.773092666690346e-006,1.773125811288523e-006
4.916925,12.5,5.571649388392525e-006,-0.6230178925374836,0.6230178925623973,1.93609218079871e-006,1.936129611967985e-006
5.1060375,12.5,5.878744463965958e-006,-0.6230179940889006,0.6230179941166363,2.099091694685029e-006,2.0991336553422e-006
5.29515,12.5,6.185839539539387e-006,-0.6230180956403171,0.6230180956710262,2.26209120768317e-006,2.262137940967079e-006
5.4842625,12.5,6.492934615112821e-006,-0.6230181971917342,0.6230181972255681,2.425090721791534e-006,2.425142470618979e-006
5.673375,12.5,6.800029690686254e-006,-0.6230182987431513,0.6230182987802613,2.588090235677853e-006,2.588147243187677e-006
5.862487499999999,12.5,7.107124766259685e-006,-0.623018400294568,0.6230184003351055,2.751089749120084e-006,2.751152258007039e-006
6.0516,12.5,7.41421984183312e-006,-0.6230185018459853,0.6230185018901017,2.914089263450492e-006,2.914157516853422e-006
6.2407125,12.5,7.721314917406549e-006,-0.6230186033974016,0.6230186034452482,3.077088776226589e-006,3.077163016840245e-006
6.429825,12.5,8.028409992979982e-006,-0.6230187049488187,0.623018705000547,3.240088290334953e-006,3.240168761520223e-006
6.618937499999999,12.5,8.335505068553413e-006,-0.6230188065002356,0.6230188065559968,3.403087803999227e-006,3.403174748450866e-006
6.80805,12.5,8.642600144126848e-006,-0.6230189080516525,0.6230189081115981,3.566087317663502e-006,3.566180978298306e-006
6.9971625,12.5,8.949695219700278e-006,-0.6230190096030694,0.6230190096673508,3.729086831549822e-006,3.729187451506633e-006
7.186274999999999,12.5,9.256790295273709e-006,-0.6230191111544863,0.6230191112232547,3.892086344992052e-006,3.892194167187668e-006
7.3753875,12.5,9.563885370847142e-006,-0.6230192127059031,0.62301921277931,4.055085858656327e-006,4.055201126007546e-006
7.5645,12.5,9.870980446420576e-006,-0.6230193142573204,0.6230193143355173,4.218085372986735e-006,4.2182083286324e-006
