name,x_mm,y_mm,Bx_T,By_T,Bmag_T
gap_center,0,12.5,1.378195796588869e-006,-0.05223397402285256,0.05223397404103444
yoke_hotspot,192.275,90.13,-0.03540450298509968,0.03258908563120178,0.04811992657828702
