0.000	0.0
0.028	20.14
0.049	30.12
0.08	40.21
0.125	50.16
0.201	60.26
0.301	70.31
0.398	80.45
0.559	100.2
0.682	120.31
0.727	130.18
0.774	140.21
0.812	150.08
0.849	159.95
0.881	169.73
0.913	179.87
0.939	190.02
0.965	200.05
1.009	220.33
1.063	250.43
1.109	279.63
1.148	310.42
1.20	359.56
1.251	419.56
1.306	501.8
1.356	599.56
1.396	700.67
1.479	998.21
1.557	1498.7
1.586	1799.3
1.628	2397
1.659	2998.6
1.686	3704.8
1.727	4982.4
1.776	6988.6
1.818	8981.2
1.843	9994.3
1.91	14941
