name,x_mm,y_mm,Bx_T,By_T,Bmag_T
gap_center,0,12.5,2.473990036823842e-006,-0.6232776147775515,0.6232776147824615
yoke_hotspot,194.275,91.13,-0.5191350839313607,0.8967180404721136,1.036148869360271
