x_mm,y_mm,Bx_T,By_T,Bmag_T,dBy_over_By0,dB_mag_over_B0
0,12.5,2.473990036823842e-006,-0.6232776147775515,0.6232776147824615,0,0
0.1891125,12.5,2.66909577224096e-006,-0.6232775990912326,0.6232775990969476,-2.516746711034301e-008,-2.516617558789846e-008
0.378225,12.5,2.864201507658076e-006,-0.6232775834049138,0.6232775834114949,-5.033493410966372e-008,-5.033225303208155e-008
0.5673375000000001,12.5,3.059307243075194e-006,-0.6232775677185949,0.6232775677261031,-7.550240133102903e-008,-7.549823266561617e-008
0.75645,12.5,3.254412978492312e-006,-0.6232775520322761,0.6232775520407725,-1.006698683303497e-007,-1.006641141554354e-007
0.9455625,12.5,3.449518713909432e-006,-0.6232775363459574,0.6232775363555031,-1.258373351076258e-007,-1.258298975015393e-007
1.134675,12.5,3.644624449326547e-006,-0.6232775206596384,0.6232775206702943,-1.510048024400135e-007,-1.509955835921062e-007
1.3237875,12.5,3.839730184743665e-006,-0.6232775049733197,0.6232775049851471,-1.761722693283119e-007,-1.761611708728239e-007
1.5129,12.5,4.034835920160786e-006,-0.6232774892870012,0.6232774893000611,-2.013397357725211e-007,-2.013266598988039e-007
1.7020125,12.5,4.229941655577904e-006,-0.6232774736006824,0.6232774736150359,-2.265072027718418e-007,-2.264920514472024e-007
1.891125,12.5,4.425047390995021e-006,-0.6232774579143635,0.6232774579300716,-2.516746698821848e-007,-2.516573452959747e-007
2.0802375,12.5,4.620153126412139e-006,-0.6232774422280447,0.6232774422451686,-2.768421368815055e-007,-2.76822540778987e-007
2.26935,12.5,4.815258861829257e-006,-0.6232774265417259,0.6232774265603266,-3.020096038808262e-007,-3.019876383403286e-007
2.4584625,12.5,5.010364597246376e-006,-0.6232774108554073,0.6232774108755459,-3.2717707054708e-007,-3.271526375359102e-007
2.647575,12.5,5.205470332663492e-006,-0.6232773951690882,0.6232773951908257,-3.523445381015122e-007,-3.523175396979994e-007
2.8366875,12.5,5.40057606808061e-006,-0.6232773794827695,0.623277379506167,-3.775120048787883e-007,-3.774823431612617e-007
3.0258,12.5,5.595681803497728e-006,-0.6232773637964507,0.6232773638215693,-4.02679471878109e-007,-4.026470488138756e-007
3.2149125,12.5,5.790787538914847e-006,-0.6232773481101319,0.6232773481370326,-4.278469388774297e-007,-4.278116565448187e-007
3.404025,12.5,5.985893274331964e-006,-0.623277332423813,0.6232773324525569,-4.530144060987951e-007,-4.529761664651133e-007
3.5931375,12.5,6.180999009749083e-006,-0.6232773167374944,0.6232773167681427,-4.781818726540266e-007,-4.78140577686581e-007
3.78225,12.5,6.539531235455123e-006,-0.6232772669483966,0.6232772669827035,-5.580645713321175e-007,-5.580174062824739e-007
3.9713625,12.5,6.986520010973339e-006,-0.6232771987007605,0.6232771987399176,-6.67562545353384e-007,-6.675075985285162e-007
4.160475,12.5,7.433508786491553e-006,-0.6232771304531242,0.623277130497452,-7.770605198187397e-007,-7.769972769633426e-007
4.349587499999999,12.5,7.880497562009768e-006,-0.623277062205488,0.6232770622553071,-8.865584940620508e-007,-8.864864408097972e-007
4.5387,12.5,8.327486337527982e-006,-0.6232769939578515,0.6232769940134825,-9.960564686384288e-007,-9.95975090845036e-007
4.7278125,12.5,8.774475113046192e-006,-0.6232769257102151,0.6232769257719785,-1.105554443214807e-006,-1.105463226513947e-006
4.916925,12.5,9.221463888564408e-006,-0.6232768574625791,0.6232768575307955,-1.215052417125051e-006,-1.214950846928353e-006
5.1060375,12.5,9.721646430981876e-006,-0.6232769516553377,0.623276951731155,-1.063927530964293e-006,-1.063813765633803e-006
5.29515,12.5,1.024623400914368e-005,-0.6232771203749413,0.6232771204591617,-7.932301728796887e-007,-7.93102925666922e-007
5.4842625,12.5,1.077082158730549e-005,-0.6232772890945453,0.6232772891876103,-5.225328143509955e-007,-5.22391376600595e-007
5.673375,12.5,1.12954091654673e-005,-0.6232774578141492,0.6232774579165004,-2.518354558223024e-007,-2.516791192119783e-007
5.862487499999999,12.5,1.181999674362911e-005,-0.6232776265337528,0.6232776266458315,1.886190204025695e-008,1.903384583279433e-008
6.0516,12.5,1.234458432179092e-005,-0.6232777952533568,0.6232777953756047,2.895592605689501e-007,2.897475199770128e-007
6.2407125,12.5,1.286917189995273e-005,-0.6232779639729609,0.6232779641058194,5.602566193196878e-007,5.604619026655655e-007
6.429825,12.5,1.339375947811454e-005,-0.6232781326925646,0.6232781328364753,8.309539776263364e-007,8.311769932323188e-007
6.618937499999999,12.5,1.391834705627634e-005,-0.6232783014121683,0.6232783015675727,1.10165133571094e-006,1.101892792121362e-006
6.80805,12.5,1.444293463443815e-005,-0.6232784701317722,0.6232784702991118,1.372348694017589e-006,1.372609299554739e-006
6.9971625,12.5,1.496752221259997e-005,-0.6232786388513761,0.6232786390310925,1.643046052546282e-006,1.643326515754495e-006
7.186274999999999,12.5,1.549210979076178e-005,-0.6232788075709801,0.6232788077635146,1.913743411074975e-006,1.914044440054496e-006
7.3753875,12.5,1.601669736892358e-005,-0.6232789762905836,0.623278976496378,2.184440768937534e-006,2.184763072232698e-006
7.5645,12.5,1.654128494708539e-005,-0.6232791450101876,0.6232791452296832,2.455138127466228e-006,2.455482413399324e-006
7.753612499999999,12.5,1.70658725252472e-005,-0.6232793137297914,0.6232793139634298,2.725835485994921e-006,2.726202462666194e-006
7.942724999999999,12.5,1.759046010340901e-005,-0.6232794824493951,0.6232794826976178,2.996532844079525e-006,2.99692322003331e-006
8.1318375,12.5,1.811504768157081e-005,-0.623279651168999,0.6232796514322475,3.267230202386173e-006,3.267644686166804e-006
8.32095,12.5,1.863963525973263e-005,-0.623279819888603,0.623279820167319,3.537927561136911e-006,3.538366861288722e-006
8.5100625,12.5,1.916422283789444e-005,-0.6232799886082065,0.6232799889028313,3.80862491899947e-006,3.809089743400662e-006
8.699174999999999,12.5,1.968881041605624e-005,-0.6232801573278104,0.6232801576387855,4.079322277306119e-006,4.07981333472307e-006
8.888287499999999,12.5,2.021339799421805e-005,-0.6232803260474145,0.6232803263751815,4.350019636056857e-006,4.350537634811857e-006
9.077400000000001,12.5,2.073798557237987e-005,-0.6232804947670184,0.6232804951120188,4.62071699458555e-006,4.621262642778845e-006
9.266512500000001,12.5,2.126257315054168e-005,-0.6232806634866219,0.6232806638492973,4.891414352448109e-006,4.891988358624033e-006
9.455625,12.5,2.178716072870348e-005,-0.6232808322062258,0.6232808325870175,5.162111710754758e-006,5.162714783457645e-006
