n,a_cos,b_sin,rel_to_n1
1,-0.3967710360705284,-0.6233259611927495,0.9999999999999999
2,0.2646032164394123,-0.5290650006286265,0.8005820527194341
3,0.3968465276413358,4.999326673355379e-005,0.5370827174588078
4,0.05291198187865839,0.2116735916121761,0.295288572634681
5,-0.132269673561407,2.894947394968467e-005,0.179010655010075
6,0.0226644679230564,-0.1360187623704698,0.1866226116947675
7,0.1322430654693584,7.151387561189221e-006,0.1789746402211752
8,0.01259534180057411,0.1007559263406884,0.137422021438702
9,-0.07933090301511783,4.665814918696465e-006,0.1073645697712435
10,0.008016922179907347,-0.08012353582969058,0.1089787532850278
11,0.07932233086230328,3.541284772572619e-006,0.1073529683434681
12,0.005550951576901659,0.06655501549574608,0.09038672959128174
13,-0.05663555737784963,1.620667253329417e-006,0.07664922511270626
14,0.004073222335697474,-0.0569223783573302,0.07723438398206821
15,0.05663279404305933,2.343506229477224e-006,0.07664548531493753
