n,a_cos,b_sin,rel_to_n1
1,-0.03555071323554052,-0.05519855401228622,1
2,0.02293892558595963,-0.04715681399182561,0.798707110745959
3,0.03497737833700208,-0.000597729983770422,0.5328133145507938
4,0.004973275703205921,0.01830120186051264,0.2888517368532803
5,-0.0113703111688672,-8.517931069725436e-006,0.1731796592664621
6,0.002051997264533225,-0.0118893329169408,0.1837620259587602
7,0.01159209791285954,-1.994199628710758e-005,0.1765578746424965
8,0.001117674134995267,0.008779327275392762,0.1347959305219207
9,-0.006925415675261305,-3.97771736150725e-005,0.1054817722444688
10,0.0007210288782638745,-0.007049840402782667,0.1079352583361431
11,0.006962457483951461,-3.082147676280053e-005,0.1060452500206225
12,0.0005025221350530921,0.005799778701437449,0.08866657776902374
13,-0.004943391624156137,-2.310003818203888e-005,0.07529292479276495
14,0.0003694787507577408,-0.005002437031267216,0.07639895448039932
15,0.004966069550184238,-1.547066031792248e-005,0.07563787408364572
