x_mm,y_mm,Bx_T,By_T,Bmag_T,dBy_over_By0,dB_mag_over_B0
0,12.5,2.216092409036827e-006,-0.6232044014383219,0.6232044014422621,0,0
0.1891125,12.5,2.387602530443996e-006,-0.6232043901170995,0.6232043901216732,-1.816614647598414e-008,-1.816512984476049e-008
0.378225,12.5,2.559112651851162e-006,-0.6232043787958768,0.6232043788011311,-3.633229339605748e-008,-3.633018463844451e-008
0.5673375000000001,12.5,2.730622773258332e-006,-0.6232043674746545,0.6232043674806367,-5.449843964999701e-008,-5.449516293776213e-008
0.75645,12.5,2.9021328946655e-006,-0.6232043561534318,0.6232043561601892,-7.266458634802575e-008,-7.266006585293638e-008
0.9455625,12.5,3.073643016072668e-006,-0.6232043448322092,0.6232043448397888,-9.083073315707679e-008,-9.082489327294496e-008
1.134675,12.5,3.245153137479835e-006,-0.6232043335109867,0.6232043335194358,-1.089968797440832e-007,-1.089896446426764e-007
1.3237875,12.5,3.416663258887006e-006,-0.6232043221897644,0.6232043221991301,-1.271630259980228e-007,-1.271543200731529e-007
1.5129,12.5,3.588173380294171e-006,-0.6232043108685414,0.6232043108788711,-1.453291733621853e-007,-1.453189206745975e-007
1.7020125,12.5,3.759683501701341e-006,-0.6232042995473192,0.6232042995586599,-1.634953195051025e-007,-1.634834445596312e-007
1.891125,12.5,3.931193623108507e-006,-0.6232042882260964,0.6232042882384955,-1.816614665361982e-007,-1.816478931715437e-007
2.0802375,12.5,4.102703744515677e-006,-0.623204276904874,0.6232042769183785,-1.9982761290116e-007,-1.998122658442014e-007
2.26935,12.5,4.274213865922844e-006,-0.6232042655836514,0.6232042655983087,-2.179937597102111e-007,-2.179765629106711e-007
2.4584625,12.5,4.445723987330013e-006,-0.6232042542624289,0.623204254278286,-2.361599062972175e-007,-2.361407842599306e-007
2.647575,12.5,4.61723410873718e-006,-0.6232042429412064,0.6232042429583106,-2.543260528842239e-007,-2.543049296699351e-007
2.8366875,12.5,4.78874423014435e-006,-0.623204231619984,0.6232042316383825,-2.724921992491858e-007,-2.724689992517071e-007
3.0258,12.5,4.960254351551516e-006,-0.6232042202987611,0.6232042203185011,-2.906583463913037e-007,-2.906329938934249e-007
3.2149125,12.5,5.131764472958685e-006,-0.6232042089775387,0.6232042089986674,-3.088244928672879e-007,-3.087969120407763e-007
3.404025,12.5,5.303274594365851e-006,-0.6232041976563161,0.6232041976788807,-3.269906395653166e-007,-3.269607545819397e-007
3.5931375,12.5,5.474784715773021e-006,-0.6232041863350937,0.6232041863591413,-3.451567860413007e-007,-3.451245212948706e-007
3.78225,12.5,5.815319209331612e-006,-0.6232041425605659,0.6232041425876982,-4.153978300225347e-007,-4.153606156798162e-007
3.9713625,12.5,6.235505059837027e-006,-0.623204083492683,0.6232040835238778,-5.101787442507444e-007,-5.101350111225145e-007
4.160475,12.5,6.655690910342443e-006,-0.6232040244248001,0.6232040244603407,-6.049596584789541e-007,-6.049089519288842e-007
4.349587499999999,12.5,7.075876760847855e-006,-0.6232039653569169,0.6232039653970868,-6.997405730402306e-007,-6.996824385430145e-007
4.5387,12.5,7.496062611353275e-006,-0.6232039062890342,0.6232039063341165,-7.945214869353734e-007,-7.944554698546824e-007
4.7278125,12.5,7.916248461858689e-006,-0.6232038472211512,0.6232038472714293,-8.893024013856277e-007,-8.89228046974111e-007
4.916925,12.5,8.336434312364101e-006,-0.6232037881532677,0.6232037882090249,-9.840833165020157e-007,-9.840001703453893e-007
5.1060375,12.5,8.787629265566274e-006,-0.6232038942729275,0.6232038943348835,-8.138026516002483e-007,-8.137095587334997e-007
5.29515,12.5,9.251567158037938e-006,-0.6232040682750678,0.6232040683437383,-5.345970813808165e-007,-5.344932143547254e-007
5.4842625,12.5,9.715505050509599e-006,-0.6232042422772078,0.6232042423529383,-2.553915114944516e-007,-2.552763161967064e-007
5.673375,12.5,1.017944294298127e-005,-0.6232044162793482,0.6232044163624839,2.381405894702482e-008,2.394113685078025e-008
5.862487499999999,12.5,1.064338083545293e-005,-0.6232045902814884,0.6232045903723747,3.03019628944412e-007,3.031591437885339e-007
6.0516,12.5,1.11073187279246e-005,-0.6232047642836289,0.6232047643826113,5.822251996079331e-007,5.823777053937107e-007
6.2407125,12.5,1.157125662039627e-005,-0.6232049382857692,0.6232049383931929,8.614307698273649e-007,8.615968205560876e-007
6.429825,12.5,1.203519451286792e-005,-0.6232051122879091,0.6232051124041196,1.140636339380663e-006,1.140816489497709e-006
