name,x_mm,y_mm,Bx_T,By_T,Bmag_T
gap_center,0,12.5,1.264583459490993e-006,-0.6228578616130973,0.6228578616143811
yoke_hotspot,194.275,91.13,-0.7676371831099146,0.9558587931496427,1.225941628844708
