n,a_cos,b_sin,rel_to_n1
1,-0.03324843895208288,-0.05157854086318407,1
2,0.02139967027492813,-0.04408347846070736,0.7985354987669613
3,0.03266805949309636,-0.0005978938558103104,0.5324357076699685
4,0.004660685349564628,0.01706878834114092,0.2883292700507703
5,-0.01060461598657385,-1.447180612979955e-005,0.1728090416825701
6,0.001921393195954725,-0.01110416403278625,0.1836382191346826
7,0.01082546790398956,-2.219312853301462e-005,0.1764081722403013
8,0.001044516608608154,0.008192065854299008,0.134575607249129
9,-0.006463843693837375,-4.349583676691654e-005,0.1053347791989144
10,0.0006781196879808928,-0.006587437660246222,0.107913707743787
11,0.006506097288847977,-3.036642789755916e-005,0.1060220981376616
12,0.0004720624225403268,0.005415831216143582,0.08858899295321962
13,-0.004615056271954274,-2.153426575140104e-005,0.07520606045473753
14,0.0003452657176152235,-0.004671887274901275,0.07633895613401556
15,0.004637397962323822,-1.56026241703647e-005,0.07556974136412091
