x_mm,y_mm,Bx_T,By_T,Bmag_T,dBy_over_By0,dB_mag_over_B0
0,12.5,1.207821133875441e-006,-0.6229188760059505,0.6229188760071215,0,0
0.1891125,12.5,1.295193803764948e-006,-0.6229189003599409,0.6229189003612874,3.909656820511032e-008,3.909685020175857e-008
0.378225,12.5,1.382566473654455e-006,-0.6229189247139312,0.6229189247154655,7.819313641022063e-008,7.819371972139777e-008
0.5673375000000001,12.5,1.469939143543962e-006,-0.6229189490679213,0.6229189490696557,1.172897043932863e-007,1.172906087809622e-007
0.75645,12.5,1.557311813433469e-006,-0.6229189734219114,0.622918973423858,1.563862721543074e-007,1.563875173804519e-007
0.9455625,12.5,1.644684483322976e-006,-0.6229189977759014,0.6229189977780727,1.954828399153286e-007,1.954844457419114e-007
1.134675,12.5,1.732057153212484e-006,-0.6229190221298918,0.6229190221322999,2.345794081204389e-007,2.345813943094299e-007
1.3237875,12.5,1.81942982310199e-006,-0.6229190464838819,0.622919046486539,2.7367597588146e-007,2.736783617507399e-007
1.5129,12.5,1.906802492991497e-006,-0.622919070837872,0.6229190708407905,3.127725438645257e-007,3.127753491760643e-007
1.7020125,12.5,1.994175162881005e-006,-0.6229190951918622,0.6229190951950542,3.518691118475914e-007,3.518723563633586e-007
1.891125,12.5,2.081547832770512e-006,-0.6229191195458524,0.6229191195493303,3.909656798306571e-007,3.909693833126227e-007
2.0802375,12.5,2.168920502660019e-006,-0.6229191438998425,0.6229191439036185,4.300622475916782e-007,4.30066429801812e-007
2.26935,12.5,2.256293172549526e-006,-0.6229191682538328,0.622919168257919,4.691588157967885e-007,4.691634960529711e-007
2.4584625,12.5,2.343665842439033e-006,-0.622919192607823,0.6229191926122319,5.082553840018988e-007,5.082605820661001e-007
2.647575,12.5,2.43103851232854e-006,-0.622919216961813,0.6229192169665567,5.473519515408753e-007,5.473576871750652e-007
2.8366875,12.5,2.518411182218046e-006,-0.6229192413158031,0.6229192413208939,5.864485195239411e-007,5.864548122680446e-007
3.0258,12.5,2.605783852107554e-006,-0.6229192656697933,0.6229192656752435,6.255450872849622e-007,6.255519571229939e-007
3.2149125,12.5,2.693156521997061e-006,-0.6229192900237834,0.6229192900296053,6.646416552680279e-007,6.646491217399131e-007
3.404025,12.5,2.780529191886568e-006,-0.6229193143777736,0.6229193143839793,7.037382232510936e-007,7.037463058967575e-007
3.5931375,12.5,2.909663797117506e-006,-0.6229193576238882,0.6229193576306837,7.731631777030401e-007,7.731722071468994e-007
3.78225,12.5,3.181048593472667e-006,-0.6229194652206662,0.6229194652287885,9.458931786721081e-007,9.459043379678178e-007
