n,a_cos,b_sin,rel_to_n1
1,-0.3965951708273375,-0.6230335565022747,1
2,0.2644667644084002,-0.5288230997322274,0.8005762264944953
3,0.3966540304771487,3.6718067524032e-005,0.537070130881305
4,0.05289052118944611,0.2115625184381657,0.2952720039598338
5,-0.1322010465257973,2.519629900300974e-005,0.1790004106606229
6,0.02265612622397328,-0.1359538649770569,0.1866202726325193
7,0.1321794779715965,6.637166226191118e-006,0.1789712037817152
8,0.01258853815326065,0.1007057239725659,0.137416899317079
9,-0.0792930964101841,2.159551874862852e-006,0.1073629667877205
10,0.008013291053765956,-0.08008774403752232,0.108980375322556
11,0.07928508579967709,7.790985067130029e-007,0.107352120374921
12,0.005549934244150435,0.06652068803483915,0.09038204250824065
13,-0.05660638631957018,1.584097263379686e-007,0.07664512860907984
14,0.004072892709084319,-0.05689586096303441,0.07723421058169561
15,0.05660694217330086,1.554735860781781e-006,0.07664588126444065
