case,By0_T,max|dBy/By0|,rms(dBy/By0),b3/b1,b5/b1,b7/b1
case_0001,-0.3906533049365426,0.2123654545151294,0.1797422375994999,0.5418096392997489,0.2015656543484597,0.1883399110266055
case_0002,-0.4142682295504411,0.2012568486969217,0.16803244288194932,0.5424452654256235,0.2007694157287893,0.1889353870400078
case_0003,-0.433791777626986,0.2011859129291669,0.16813285981473503,0.5424624265464446,0.2007847988373276,0.1889136630044661
case_0004,-0.44813787563401,0.2143914787174783,0.18092303250296476,0.5429304257672665,0.201400494799859,0.1881300968529982
case_0005,-0.4669057925478413,0.2152896934913842,0.1808976959404974,0.5429285239115973,0.201536220394762,0.1880430161573249
