name,x_mm,y_mm,Bx_T,By_T,Bmag_T
gap_center,0,12.5,3.101556682521955e-006,-0.6235248400138576,0.6235248400215715
yoke_hotspot,192.275,90.13,-0.4396364672023595,0.8282056692932769,0.9376592419123784
