x_mm,y_mm,Bx_T,By_T,Bmag_T,dBy_over_By0
-75.645,12.5,-0.004468688668953936,-0.06052991006754961,0.06069463890003533,0.02920544500465216
-75.266775,12.5,-0.004309439922872197,-0.06066557625686014,0.06081844633847331,0.03151221170206853
-74.88855,12.5,-0.004150191176790467,-0.0608012424461708,0.06094272040040509,0.03381897839948689
-74.51032499999999,12.5,-0.003990942430708743,-0.06093690863548153,0.06106745823705335,0.03612574509690658
-74.13209999999999,12.5,-0.003831693684627005,-0.06107257482479207,0.06119265701228079,0.03843251179432317
-73.75387499999999,12.5,-0.003672444938545274,-0.06120824101410273,0.0613183139026762,0.04073927849174175
-73.37564999999999,12.5,-0.003512770471272853,-0.06134262084356076,0.06144311750180569,0.04302417288564797
-72.99742499999999,12.5,-0.003332124734252467,-0.06141363384967895,0.06150396310699864,0.04423162507715861
-72.61919999999999,12.5,-0.003169503679258241,-0.06143203415705043,0.06151374297054149,0.04454449017997053
-72.24097499999999,12.5,-0.003018052580431017,-0.06141783019778691,0.06149193855768764,0.04430297665057115
-71.86274999999999,12.5,-0.002914150924291096,-0.06145539092847552,0.06152444513997098,0.04494163130080842
-71.48452499999999,12.5,-0.002815175115968347,-0.06149831418226828,0.06156271483775344,0.04567146629431029
-71.10629999999999,12.5,-0.002716199307645599,-0.06154123743606109,0.06160114969576867,0.04640130128781306
-70.72807499999999,12.5,-0.002617223499322851,-0.06158416068985385,0.06163974940506448,0.04713113628131493
-70.34985,12.5,-0.002518247691000106,-0.06162708394364665,0.06167851365613879,0.0478609712748177
-69.97162499999999,12.5,-0.002419271882677354,-0.06167000719743948,0.06171744213894927,0.04859080626832091
-69.5934,12.5,-0.00232029607435461,-0.06171293045123227,0.06175653454292345,0.04932064126182345
-69.215175,12.5,-0.002221320266031861,-0.06175585370502504,0.06179579055696868,0.05005047625532533
-68.83695,12.5,-0.002122344457709114,-0.06179877695881784,0.06183520986948199,0.05078031124882809
-68.458725,12.5,-0.00202336864938637,-0.06184170021261071,0.06187479216835994,0.05151014624233197
-68.0805,12.5,-0.001924392841063622,-0.06188462346640353,0.06191453714100817,0.05223998123583495
-67.702275,12.5,-0.001825417032740875,-0.06192754672019635,0.06195444447435165,0.05296981622933794
-67.32405,12.5,-0.001726441224418126,-0.0619704699739891,0.06199451385484408,0.05369965122283982
-66.945825,12.5,-0.001627465416095378,-0.0620133932277819,0.06203474496847789,0.05442948621634258
-66.5676,12.5,-0.00152848960777263,-0.06205631648157472,0.0620751375007936,0.05515932120984557
-66.189375,12.5,-0.001429513799449881,-0.06209923973536748,0.06211569113688956,0.05588915620334722
-65.81115,12.5,-0.001330537991127133,-0.06214216298916028,0.06215640556143183,0.05661899119684999
-65.432925,12.5,-0.001231562182804384,-0.06218508624295305,0.06219728045866332,0.05734882619035209
-65.0547,12.5,-0.001127973511984875,-0.06218633965458664,0.06219656874683164,0.05737013826692183
-64.676475,12.5,-0.00102040091378127,-0.06215160464788193,0.06215998052068119,0.056779530119762
-64.29825,12.5,-0.0009128283155776682,-0.06211686964117728,0.06212357643884271,0.05618892197260283
-63.920025,12.5,-0.0008052557173740629,-0.06208213463447258,0.06208735682522766,0.055598313825443
-63.54179999999999,12.5,-0.0007354917027761869,-0.06207564579084045,0.06208000280601427,0.05548798236797814
-63.16357499999999,12.5,-0.0006853313153359188,-0.06208380249054,0.06208758499648832,0.05562667280605549
