n,ReCn,ImCn,|Cn|,Cn_over_fund
1,-0.2554388886005421,-0.4105832758660168,0.483557289501823,1
3,0.2617297290767605,0.01180903259425186,0.261996000605747,0.5418096392997489
5,-0.09742711511706791,-0.002841446272232127,0.0974685414734025,0.2015656543484597
7,0.09104767494755762,-0.002153403816406378,0.09107313688103988,0.1883399110266055
9,-0.05636883705431019,0.001244394435777286,0.05638257096272897,0.1165995678005727
11,0.05389003407670657,-0.00291723070785727,0.05396893558141999,0.1116081522357374
13,-0.03885167243247016,0.001317655236533535,0.03887401016260512,0.08039173642207822
15,0.03826724347880599,-0.002159229973219318,0.03832811236603582,0.07926281579897748
