name,x_mm,y_mm,Bx_T,By_T,Bmag_T
gap_center,0,12.5,5.516006985472442e-006,-0.05047511850771402,0.05047511880911334
yoke_hotspot,192.275,90.13,-0.03829391553675141,0.03319703144227561,0.05068004403821376
