x_mm,y_mm,Bx_T,By_T,Bmag_T,dBy_over_By0,dB_mag_over_B0
0,12.5,9.839485273900898e-007,-0.6228141421742917,0.6228141421750689,0,0
0.1891125,12.5,1.053431407048699e-006,-0.6228141653470625,0.6228141653479533,3.7206558500813e-008,3.720674079943365e-008
0.378225,12.5,1.122914286707307e-006,-0.6228141885198334,0.6228141885208457,7.441311722367061e-008,7.441349447745438e-008
0.5673375000000001,12.5,1.192397166365916e-006,-0.622814211692604,0.6228142116937454,1.116196752803944e-007,1.116202599238392e-007
0.75645,12.5,1.261880046024524e-006,-0.6228142348653746,0.6228142348666529,1.488262335591628e-007,1.488270378047218e-007
0.9455625,12.5,1.331362925683132e-006,-0.6228142580381453,0.6228142580395682,1.860327918379312e-007,1.860338285641916e-007
1.134675,12.5,1.400845805341741e-006,-0.622814281210916,0.6228142812124914,2.232393501166996e-007,2.232406315361146e-007
1.3237875,12.5,1.470328685000349e-006,-0.6228143043836868,0.6228143043854224,2.604459086175126e-007,2.604474473866247e-007
1.5129,12.5,1.539811564658957e-006,-0.6228143275564575,0.622814327558361,2.97652466896281e-007,2.976542752275435e-007
1.7020125,12.5,1.609294444317565e-006,-0.6228143507292281,0.6228143507313072,3.348590251750494e-007,3.348611152809156e-007
1.891125,12.5,1.678777323976174e-006,-0.6228143739019987,0.6228143739042612,3.720655832317732e-007,3.720679679908301e-007
2.0802375,12.5,1.748260203634782e-006,-0.6228143970747695,0.6228143970772232,4.092721417325862e-007,4.092748333572871e-007
2.26935,12.5,1.817743083293391e-006,-0.6228144202475402,0.6228144202501928,4.464787000113546e-007,4.46481711158242e-007
2.4584625,12.5,1.887225962951998e-006,-0.6228144434203107,0.6228144434231699,4.836852580680784e-007,4.836886007275609e-007
2.647575,12.5,1.956708842610607e-006,-0.6228144665930815,0.6228144665961551,5.208918165688914e-007,5.208955036195562e-007
2.8366875,12.5,2.026191722269215e-006,-0.6228144897658522,0.6228144897691481,5.580983748476598e-007,5.581024187240047e-007
3.0258,12.5,2.095674601927823e-006,-0.6228145129386227,0.6228145129421485,5.953049329043836e-007,5.953093458188619e-007
3.2149125,12.5,2.165157481586431e-006,-0.6228145361113934,0.6228145361151568,6.32511491183152e-007,6.325162855702615e-007
3.404025,12.5,2.23464036124504e-006,-0.6228145592841641,0.622814559288173,6.697180494619204e-007,6.697232382002483e-007
