name,x_mm,y_mm,Bx_T,By_T,Bmag_T
gap_center,0,12.5,7.619174837480603e-006,-0.05685193445884078,0.05685193496939354
yoke_hotspot,192.275,90.13,-0.02900988878451122,0.03039163770927027,0.04201458425286686
