n,a_cos,b_sin,rel_to_n1
1,-0.3966417301137806,-0.6231136084972273,1
2,0.2645062064849321,-0.5288877745654947,0.8005781312591005
3,0.3967072888902001,4.371174289012318e-005,0.5370749539110244
4,0.05289426826148368,0.2115960520129136,0.2952802878387807
5,-0.1322233530427632,2.718351421322182e-005,0.1790081863878125
6,0.02265545018350811,-0.1359726599356112,0.1866218426963076
7,0.1321950417627015,4.962514972544264e-006,0.1789698540191097
8,0.01258936842212172,0.1007173404510986,0.1374154293024248
9,-0.07930350816395688,4.722455099790066e-007,0.1073636127369675
10,0.008015435432822765,-0.08009947835033329,0.1089828193254876
11,0.0792969871954355,8.299682060224046e-007,0.1073547844462672
12,0.005551423399197566,0.06653042273052445,0.09038402113412888
13,-0.0566139284378316,1.102313880393374e-006,0.07664573774965337
14,0.004073060017168089,-0.05690275680097714,0.07723386330223334
15,0.05661390174762274,2.052330843323158e-006,0.0766457016514332
