name,x_mm,y_mm,Bx_T,By_T,Bmag_T
gap_center,0,12.5,1.624469516479327e-006,-0.6231909535355745,0.6231909535376917
yoke_hotspot,192.275,90.13,-0.6113374388737253,0.9432750327203471,1.124055715488453
