n,ReCn,ImCn,|Cn|,Cn_over_fund
1,-0.2665704883723026,-0.4292208725803867,0.505262686856764,0.9999999999999999
3,0.2737839468870994,0.0126785433176939,0.2740773522816811,0.5424452654256235
5,-0.101393143706162,-0.003125159991594805,0.1014412944297907,0.2007694157287893
7,0.09545206230852039,-0.001377495154133844,0.09546200129815696,0.1889353870400078
9,-0.0591895718790977,0.001140187743230119,0.05920055276195219,0.1171678699059265
11,0.05682945336971721,-0.002372033509877703,0.05687893558491443,0.1125729982927454
13,-0.04146230702743024,0.001551888718969022,0.04149133961000722,0.08211835286734626
15,0.04031865195424491,-0.002412321675883942,0.04039075378444275,0.07994010805688695
