name,x_mm,y_mm,Bx_T,By_T,Bmag_T
gap_center,0,12.5,3.064516433668936e-006,-0.6234674377021304,0.623467437709662
yoke_hotspot,192.275,90.13,-0.4610576006178979,0.8561419470271675,0.9723955699955663
